Training Data
              Total  Percentage
PoolQC         1453    0.995205
MiscFeature    1406    0.963014
Alley          1369    0.937671
Fence          1179    0.807534
FireplaceQu     690    0.472603
LotFrontage     259    0.177397
GarageType       81    0.055479
GarageCond       81    0.055479
GarageFinish     81    0.055479
GarageQual       81    0.055479
GarageYrBlt      81    0.055479
BsmtFinType2     38    0.026027
BsmtExposure     38    0.026027
BsmtQual         37    0.025342
BsmtCond         37    0.025342
BsmtFinType1     37    0.025342
MasVnrArea        8    0.005479
MasVnrType        8    0.005479
Electrical        1    0.000685

Test Data
              Total  Percentage
PoolQC         1456    0.997944
MiscFeature    1408    0.965045
Alley          1352    0.926662
Fence          1169    0.801234
FireplaceQu     730    0.500343
LotFrontage     227    0.155586
GarageCond       78    0.053461
GarageFinish     78    0.053461
GarageYrBlt      78    0.053461
GarageQual       78    0.053461
GarageType       76    0.052090
BsmtCond         45    0.030843
BsmtExposure     44    0.030158
BsmtQual         44    0.030158
BsmtFinType1     42    0.028787
BsmtFinType2     42    0.028787
MasVnrType       16    0.010966
MasVnrArea       15    0.010281
MSZoning          4    0.002742
BsmtHalfBath      2    0.001371
Utilities         2    0.001371
Functional        2    0.001371
BsmtFullBath      2    0.001371
BsmtFinSF2        1    0.000685
BsmtFinSF1        1    0.000685
BsmtUnfSF         1    0.000685
TotalBsmtSF       1    0.000685
Exterior2nd       1    0.000685
SaleType          1    0.000685
Exterior1st       1    0.000685
KitchenQual       1    0.000685
GarageArea        1    0.000685
GarageCars        1    0.000685
